idcom,latitude,longitude,distance_m,duration_sec
1001,45.36589813232422,7.775890827178955,335225,254112
1002,44.92180252075195,7.483628273010254,305142,231953
1003,45.30684280395508,7.28231143951416,333198,250622
1004,45.43180465698242,7.943963050842285,354013,268092
1005,45.46542739868164,7.784042835235596,349004,263511
1006,45.11818313598633,7.419915199279785,283372,215312
1007,45.40651702880859,7.576591968536377,342415,258547
1008,45.10095596313477,7.517033576965332,290836,220912
1009,45.03607177734375,7.866256237030029,323427,246144
1010,45.54613494873047,7.885948181152344,366156,276921
1011,44.86080551147461,7.177359104156494,318958,248681
1012,45.03776550292969,7.898874282836914,326153,248118
1013,45.07492828369141,7.39209794998169,281902,214442
1014,45.42242813110352,7.99329137802124,355475,269283
1015,45.37680053710938,7.747515678405762,337671,255780
1016,45.27694320678711,7.519351005554199,313112,237285
1017,45.40632629394531,7.74465799331665,339630,257218
1018,45.06982040405273,7.804664134979248,316640,241057
1019,45.29996109008789,7.186912059783936,342593,257119
1020,45.45360946655273,7.856389045715332,350488,265678
1021,45.29446029663086,7.620614528656006,318845,241889
1022,45.10075378417969,6.731351375579834,228873,176434
1023,45.32110214233398,7.869021415710449,337955,256105
1024,45.01750183105469,7.581571578979492,300595,228598
1025,44.79300689697266,7.288800239562988,312870,243653
1026,44.78436660766602,7.066501140594482,340538,264290
1027,45.46632766723633,7.948737144470215,357369,270717
1028,45.14798355102539,7.676666259765625,309575,235235
1029,45.41436004638672,7.667262554168701,336263,254518
1030,45.51412963867188,7.850313186645508,358081,271173
1031,45.36256408691406,7.980636596679688,350192,265649
1032,45.12164688110352,7.245090484619141,267380,203502
1033,45.26634979248047,7.769679069519043,327069,248279
1034,45.17363357543945,7.834431648254395,319924,243202
1035,44.82693862915039,7.291961669921875,309300,240978
1036,45.51000595092773,7.801829338073731,354781,267497
1037,45.11148834228516,8.070162773132324,344151,260757
1038,45.01430892944336,7.474001407623291,292336,222319
1039,45.15184020996094,8.062130928039551,340200,258111
1040,45.15206527709961,7.199127197265625,266560,202640
1041,44.87437438964844,7.424761295318604,308273,236215
1042,45.48383712768555,7.927295684814453,356436,269952
1043,45.32221221923828,7.661151885986328,324904,246480
1044,45.12099075317383,7.149855613708496,261934,199292
1045,45.07340621948242,7.435255527496338,284709,216323
1046,45.244384765625,7.508158206939697,306833,232587
1047,45.28137969970703,7.882601261138916,334100,253377
1048,44.97831344604492,7.775627613067627,316576,240528
1049,44.8047981262207,7.327147483825684,312438,243350
1050,45.33043670654297,7.897421836853027,338897,257009
1051,44.95515060424805,7.582149982452393,304663,231733
1052,45.38053894042969,7.577771186828613,334795,254175
1053,44.95159530639648,7.332812309265137,303718,232766
1054,45.35080718994141,7.388094902038574,330310,249131
1055,45.13385772705078,7.340653896331787,283865,215745
1056,45.39971923828125,7.960629463195801,350886,265790
1057,45.58581924438477,7.830631256103516,380370,289194
1058,44.89723205566406,7.661580562591553,313974,238636
1059,44.85824203491211,7.735530853271484,322623,245055
1060,45.12957763671875,7.935693740844727,329932,251382
1062,45.10618209838867,7.469879150390625,288548,219697
1063,45.18120193481445,7.660669803619385,310976,236082
1064,45.1625862121582,7.892759799957275,326741,248306
1065,44.8947868347168,7.56676197052002,309219,235011
1066,45.3905029296875,7.704266548156738,337817,255942
1067,45.47618865966797,7.678077220916748,349947,264386
1068,45.11274337768555,7.803316116333008,315844,240078
1069,45.14602279663086,8.034341812133789,339768,258038
1070,44.79452514648438,7.389051914215088,318716,243857
1071,44.86407852172852,7.503296852111816,311367,236541
1072,45.31574249267578,7.357964515686035,327881,247714
1074,44.89445495605469,6.834427833557129,247936,191134
1075,45.37754440307617,7.339482307434082,333134,251090
1076,45.16659927368164,7.170714855194092,269054,204382
1077,45.50394821166992,7.902387142181397,357887,270882
1078,45.00358200073242,7.827796459197998,320647,243944
1079,45.42281341552734,7.64760160446167,340449,257348
1080,45.10227966308594,6.985721111297607,263318,200061
1081,45.09856414794922,7.323298931121826,275909,210011
1082,45.20586776733398,7.895956516265869,326750,248311
1083,45.32963943481445,7.761417865753174,332867,252140
1084,45.44826507568359,7.678377628326416,344971,260916
1085,45.09287643432617,7.922359466552734,330014,250343
1086,45.21967315673828,7.591750621795654,308865,234338
1087,44.92247772216797,6.757368087768555,229259,175685
1088,45.32517623901367,7.465674877166748,319249,241649
1089,45.05071258544922,7.232409954071045,281993,218929
1090,45.09132766723633,7.590234279632568,297458,226000
1091,45.43923950195313,7.668804168701172,342905,259243
1092,45.43046188354492,7.812766075134277,345979,262283
1093,45.15711212158203,7.27182674407959,285147,216319
1094,45.32933044433594,7.519179821014404,320203,242112
1095,45.38480377197266,7.998193740844727,353295,267959
1096,45.35808944702148,7.812543869018555,338752,256588
1097,44.96768951416016,7.384483337402344,295892,227049
1098,45.39967727661133,7.632132530212402,334126,253051
1099,45.15260696411133,7.568949222564697,299840,227692
1100,45.10648727416992,6.918911933898926,243638,186198
1101,45.3108024597168,7.685447216033936,324449,246157
1102,45.29539489746094,7.7584547996521,329850,249949
1103,45.02226257324219,7.058255672454834,273555,212951
1104,45.21257019042969,7.528586864471436,303049,229960
1105,45.46625518798828,7.829821586608887,350295,265449
1106,45.26729583740234,7.823098182678223,329016,249736
1107,45.34739303588867,7.567108631134033,330131,249941
1108,45.46377182006836,7.620469570159912,352197,265600
1109,45.27347946166992,7.668186664581299,319708,242559
1110,44.92609024047852,7.372582912445068,302122,231706
1111,44.83370208740234,7.367502689361572,314465,240724
1112,45.11772155761719,7.838272094726563,318876,242332
1113,45.25233840942383,7.456448554992676,314308,238044
