idcom,nome,latitude,longitude
1001,Agliè,45.36589813232422,7.775890827178955
1002,Airasca,44.92180252075195,7.483628273010254
1003,Ala di Stura,45.30684280395508,7.28231143951416
1004,Albiano d'Ivrea,45.43180465698242,7.943963050842285
1005,Alice Superiore,45.46542739868164,7.784042835235596
1006,Almese,45.11818313598633,7.419915199279785
1007,Alpette,45.40651702880859,7.576591968536377
1008,Alpignano,45.10095596313477,7.517033576965332
1009,Andezeno,45.03607177734375,7.866256237030029
1010,Andrate,45.54613494873047,7.885948181152344
1011,Angrogna,44.86080551147461,7.177359104156494
1012,Arignano,45.03776550292969,7.898874282836914
1013,Avigliana,45.07492828369141,7.39209794998169
1014,Azeglio,45.42242813110352,7.99329137802124
1015,Bairo,45.37680053710938,7.747515678405762
1016,Balangero,45.27694320678711,7.519351005554199
1017,Baldissero Canavese,45.40632629394531,7.74465799331665
1018,Baldissero Torinese,45.06982040405273,7.804664134979248
1019,Balme,45.29996109008789,7.186912059783936
1020,Banchette,45.45360946655273,7.856389045715332
1021,Barbania,45.29446029663086,7.620614528656006
1022,Bardonecchia,45.10075378417969,6.731351375579834
1023,Barone Canavese,45.32110214233398,7.869021415710449
1024,Beinasco,45.01750183105469,7.581571578979492
1025,Bibiana,44.79300689697266,7.288800239562988
1026,Bobbio Pellice,44.78436660766602,7.066501140594482
1027,Bollengo,45.46632766723633,7.948737144470215
1028,Borgaro Torinese,45.14798355102539,7.676666259765625
1029,Borgiallo,45.41436004638672,7.667262554168701
1030,Borgofranco d'Ivrea,45.51412963867188,7.850313186645508
1031,Borgomasino,45.36256408691406,7.980636596679688
1032,Borgone Susa,45.12164688110352,7.245090484619141
1033,Bosconero,45.26634979248047,7.769679069519043
1034,Brandizzo,45.17363357543945,7.834431648254395
1035,Bricherasio,44.82693862915039,7.291961669921875
1036,Brosso,45.51000595092773,7.801829338073731
1037,Brozolo,45.11148834228516,8.070162773132324
1038,Bruino,45.01430892944336,7.474001407623291
1039,Brusasco,45.15184020996094,8.062130928039551
1040,Bruzolo,45.15206527709961,7.199127197265625
1041,Buriasco,44.87437438964844,7.424761295318604
1042,Burolo,45.48383712768555,7.927295684814453
1043,Busano,45.32221221923828,7.661151885986328
1044,Bussoleno,45.12099075317383,7.149855613708496
1045,Buttigliera Alta,45.07340621948242,7.435255527496338
1046,Cafasse,45.244384765625,7.508158206939697
1047,Caluso,45.28137969970703,7.882601261138916
1048,Cambiano,44.97831344604492,7.775627613067627
1049,Campiglione-Fenile,44.8047981262207,7.327147483825684
1050,Candia Canavese,45.33043670654297,7.897421836853027
1051,Candiolo,44.95515060424805,7.582149982452393
1052,Canischio,45.38053894042969,7.577771186828613
1053,Cantalupa,44.95159530639648,7.332812309265137
1054,Cantoira,45.35080718994141,7.388094902038574
1055,Caprie,45.13385772705078,7.340653896331787
1056,Caravino,45.39971923828125,7.960629463195801
1057,Carema,45.58581924438477,7.830631256103516
1058,Carignano,44.89723205566406,7.661580562591553
1059,Carmagnola,44.85824203491211,7.735530853271484
1060,Casalborgone,45.12957763671875,7.935693740844727
1062,Caselette,45.10618209838867,7.469879150390625
1063,Caselle Torinese,45.18120193481445,7.660669803619385
1064,Castagneto Po,45.1625862121582,7.892759799957275
1065,Castagnole Piemonte,44.8947868347168,7.56676197052002
1066,Castellamonte,45.3905029296875,7.704266548156738
1067,Castelnuovo Nigra,45.47618865966797,7.678077220916748
1068,Castiglione Torinese,45.11274337768555,7.803316116333008
1069,Cavagnolo,45.14602279663086,8.034341812133789
1070,Cavour,44.79452514648438,7.389051914215088
1071,Cercenasco,44.86407852172852,7.503296852111816
1072,Ceres,45.31574249267578,7.357964515686035
1073,Ceresole Reale,45.4444580078125,7.190727710723877
1074,Cesana Torinese,44.89445495605469,6.834427833557129
1075,Chialamberto,45.37754440307617,7.339482307434082
1076,Chianocco,45.16659927368164,7.170714855194092
1077,Chiaverano,45.50394821166992,7.902387142181397
1078,Chieri,45.00358200073242,7.827796459197998
1079,Chiesanuova,45.42281341552734,7.64760160446167
1080,Chiomonte,45.10227966308594,6.985721111297607
1081,Chiusa di San Michele,45.09856414794922,7.323298931121826
1082,Chivasso,45.20586776733398,7.895956516265869
1083,Ciconio,45.32963943481445,7.761417865753174
1084,Cintano,45.44826507568359,7.678377628326416
1085,Cinzano,45.09287643432617,7.922359466552734
1086,Ciriè,45.21967315673828,7.591750621795654
1087,Claviere,44.92247772216797,6.757368087768555
1088,Coassolo Torinese,45.32517623901367,7.465674877166748
1089,Coazze,45.05071258544922,7.232409954071045
1090,Collegno,45.09132766723633,7.590234279632568
1091,Colleretto Castelnuovo,45.43923950195313,7.668804168701172
1092,Colleretto Giacosa,45.43046188354492,7.812766075134277
1093,Condove,45.15711212158203,7.27182674407959
1094,Corio,45.32933044433594,7.519179821014404
1095,Cossano Canavese,45.38480377197266,7.998193740844727
1096,Cuceglio,45.35808944702148,7.812543869018555
1097,Cumiana,44.96768951416016,7.384483337402344
1098,Cuorgnè,45.39967727661133,7.632132530212402
1099,Druento,45.15260696411133,7.568949222564697
1100,Exilles,45.10648727416992,6.918911933898926
1101,Favria,45.3108024597168,7.685447216033936
1102,Feletto,45.29539489746094,7.7584547996521
1103,Fenestrelle,45.02226257324219,7.058255672454834
1104,Fiano,45.21257019042969,7.528586864471436
1105,Fiorano Canavese,45.46625518798828,7.829821586608887
1106,Foglizzo,45.26729583740234,7.823098182678223
1107,Forno Canavese,45.34739303588867,7.567108631134033
1108,Frassinetto,45.46377182006836,7.620469570159912
1109,Front,45.27347946166992,7.668186664581299
